region,date,max_ndvi
anwr,2014-05-25,6432
anwr,2014-06-10,7427
anwr,2014-06-26,8390
anwr,2014-07-12,8609
anwr,2014-07-28,7981
anwr,2014-08-13,7569
anwr,2014-08-29,9805
anwr,2014-09-14,9705
anwr,2014-09-30,6360
anwr,2014-10-16,1300
anwr,2014-11-01,1167
anwr,2014-11-17,0
anwr,2014-12-03,0
anwr,2014-12-19,0
anwr,2015-01-01,0
anwr,2015-01-17,0
anwr,2015-02-02,607
anwr,2015-02-18,368
anwr,2015-03-06,317
anwr,2015-03-22,292
anwr,2015-04-07,192
anwr,2015-04-23,4168
anwr,2015-05-09,6673
anwr,2015-05-25,9264
anwr,2015-06-10,9056
anwr,2015-06-26,8242
anwr,2015-07-12,8322
anwr,2015-07-28,8414
anwr,2015-08-13,8794
anwr,2015-08-29,9953
anwr,2015-09-14,8310
anwr,2015-09-30,1236
anwr,2015-10-16,1224
anwr,2015-11-01,281
anwr,2015-11-17,0
anwr,2015-12-03,0
anwr,2015-12-19,0
anwr,2016-01-01,0
anwr,2016-01-17,0
anwr,2016-02-02,290
anwr,2016-02-18,683
anwr,2016-03-05,609
anwr,2016-03-21,473
anwr,2016-04-06,9230
anwr,2016-04-22,5024
anwr,2016-05-08,8881
anwr,2016-05-24,6234
anwr,2016-06-09,7413
anwr,2016-06-25,9436
anwr,2016-07-11,9683
anwr,2016-07-27,8199
anwr,2016-08-12,7167
anwr,2016-08-28,8162
anwr,2016-09-13,7887
anwr,2016-09-29,9620
anwr,2016-10-15,2378
anwr,2016-10-31,1986
anwr,2016-11-16,0
anwr,2016-12-02,0
anwr,2016-12-18,0
anwr,2017-01-01,0
anwr,2017-01-17,0
anwr,2017-02-02,527
anwr,2017-02-18,517
anwr,2017-03-06,444
anwr,2017-03-22,473
anwr,2017-04-07,2194
anwr,2017-04-23,6345
anwr,2017-05-09,6797
anwr,2017-05-25,7031
anwr,2017-06-10,8490
anwr,2017-06-26,8148
anwr,2017-07-12,8515
